obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temp,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('50',)",3771301806,14,3.484019995,3779218459,3779218533,3771301806,0,internal_timestamp,71.72399902,1562313006,33.89550018,0,7.585700035,1026.798571,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('51',)",3771301806,14,3.484019995,3779218459,3779218533,3771301806,0,internal_timestamp,71.72699738,1562313006,33.89550018,0,7.585800171,1026.79857,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('52',)",3771301806,14,3.484030008,3779218459,3779218533,3771301806,0,internal_timestamp,71.72799683,1562313006,33.89559937,0,7.585800171,1026.798653,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('53',)",3771301806,14,3.484040022,3779218459,3779218533,3771301806,0,internal_timestamp,71.73000336,1562313006,33.89569855,0,7.585800171,1026.79874,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('54',)",3771301806,14,3.484040022,3779218459,3779218533,3771301806,0,internal_timestamp,71.73600006,1562313006,33.89580154,0,7.585800171,1026.798848,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('55',)",3771301806,14,3.484050035,3779218459,3779218533,3771301806,0,internal_timestamp,71.73899841,1562313006,33.89580154,0,7.585700035,1026.798877,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('56',)",3771301806,14,3.484050035,3779218459,3779218533,3771301806,0,internal_timestamp,71.7440033,1562313006,33.89580154,0,7.585700035,1026.7989,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('57',)",3771301806,14,3.484050035,3779218459,3779218533,3771301806,0,internal_timestamp,71.74500275,1562313006,33.89580154,0,7.585700035,1026.798904,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('58',)",3771301806,14,3.484050035,3779218459,3779218533,3771301806,0,internal_timestamp,71.74700165,1562313006,33.89580154,0,7.585700035,1026.798913,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('59',)",3771301806,14,3.484040022,3779218459,3779218533,3771301806,0,internal_timestamp,71.75099945,1562313006,33.89580154,0,7.585700035,1026.798932,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('60',)",3771301806,14,3.484030008,3779218459,3779218533,3771301806,0,internal_timestamp,71.7539978,1562313006,33.89559937,0,7.585700035,1026.798787,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('61',)",3771301806,14,3.484019995,3779218459,3779218533,3771301806,0,internal_timestamp,71.75700378,1562313006,33.89550018,0,7.585700035,1026.798723,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('62',)",3771301807,14,3.484030008,3779218459,3779218533,3771301807,0,internal_timestamp,71.75499725,1562313007,33.89559937,0,7.585700035,1026.798791,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('63',)",3771301807,14,3.484040022,3779218459,3779218533,3771301807,0,internal_timestamp,71.75900269,1562313007,33.89569855,0,7.585700035,1026.798888,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('64',)",3771301807,14,3.484040022,3779218459,3779218533,3771301807,0,internal_timestamp,71.76200104,1562313007,33.89580154,0,7.585700035,1026.798982,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('65',)",3771301807,14,3.484040022,3779218459,3779218533,3771301807,0,internal_timestamp,71.76699829,1562313007,33.89580154,0,7.585700035,1026.799005,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('66',)",3771301807,14,3.484030008,3779218459,3779218533,3771301807,0,internal_timestamp,71.76799774,1562313007,33.89569855,0,7.585700035,1026.798929,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('67',)",3771301807,14,3.484019995,3779218459,3779218533,3771301807,0,internal_timestamp,71.76899719,1562313007,33.89559937,0,7.585700035,1026.798856,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('68',)",3771301807,14,3.484019995,3779218459,3779218533,3771301807,0,internal_timestamp,71.77100372,1562313007,33.89550018,0,7.585700035,1026.798787,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('69',)",3771301807,14,3.484019995,3779218459,3779218533,3771301807,0,internal_timestamp,71.77200317,1562313007,33.89550018,0,7.585700035,1026.798792,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('70',)",3771301807,14,3.484030008,3779218459,3779218533,3771301807,0,internal_timestamp,71.77700043,1562313007,33.89569855,0,7.585700035,1026.79897,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('71',)",3771301807,14,3.484040022,3779218459,3779218533,3771301807,0,internal_timestamp,71.77899933,1562313007,33.89580154,0,7.585700035,1026.79906,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('72',)",3771301807,14,3.484050035,3779218459,3779218533,3771301807,0,internal_timestamp,71.78299713,1562313007,33.89580154,0,7.585700035,1026.799079,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('73',)",3771301807,14,3.484040022,3779218459,3779218533,3771301807,0,internal_timestamp,71.78600311,1562313007,33.89580154,0,7.585700035,1026.799093,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('74',)",3771301807,14,3.484030008,3779218459,3779218533,3771301807,0,internal_timestamp,71.78600311,1562313007,33.89569855,0,7.585700035,1026.799012,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('75',)",3771301807,14,3.484030008,3779218459,3779218533,3771301807,0,internal_timestamp,71.78700256,1562313007,33.89569855,0,7.585599899,1026.799031,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('76',)",3771301807,14,3.484019995,3779218459,3779218533,3771301807,0,internal_timestamp,71.78800201,1562313007,33.89559937,0,7.585599899,1026.798957,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('77',)",3771301808,14,3.484019995,3779218459,3779218533,3771301808,0,internal_timestamp,71.78800201,1562313008,33.89559937,0,7.585599899,1026.798957,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('78',)",3771301808,14,3.484019995,3779218459,3779218533,3771301808,0,internal_timestamp,71.79000092,1562313008,33.89559937,0,7.585599899,1026.798967,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('79',)",3771301808,14,3.484009981,3779218459,3779218533,3771301808,0,internal_timestamp,71.79199982,1562313008,33.89550018,0,7.585599899,1026.798898,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
